None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Technology,Technology,Technology,Technology,Set,Set,Set,Set,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,YearCommissioned,YearCommissioned,YearCommissioned,YearCommissioned,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File,projectID,projectID,projectID,projectID
279,,Emosson esa,,Emosson,,Hydro,,Hydro,,,,Reservoir,,PP,,PP,,Switzerland,,Switzerland,,420.0,,260.5,,,,1978.0,,,,46.06247,,,,6.93863602193,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,BFE,,12W-0000000060-F,,"[OEU908, OEU907, OEU906]"
280,,Fr ga morant,,Fr ga morant,,Natural Gas,,Natural Gas,,,,,,,,PP,,France,,France,,401.0,,401.0,,,,,,,,46.27282,,,,3.30095,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P0318E,,[OEU116]
281,,Frechen wachtberg,,Frechen wachtberg,,Lignite,,Lignite,,,,Steam Turbine,,,,IPP,,Germany,,Germany,,113.0,,118.0,,,,1959.0,,,,50.8976,,,,6.793099,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD7BOLL5B-FREO,,[BNA0292]
282,,Gud ludwigshafen süd,,Süd,,Natural Gas,,Natural Gas,,,,CCGT,,,,IPP,,,,Germany,,316.0,,390.0,,,,1997.0,,,,49.513617,,,,8.431603,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD7LUDW5GSUEDE,,[BNA0615]
283,,Hastedt,,Hastedt,,Natural Gas,,Natural Gas,,,,Steam Turbine,,,,PP,,,,Germany,,267.0,,155.0,,,,1972.0,,,,53.06008,,,,8.87328,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD2BHAS000271O,,[BNA0140]
284,,Heizkraftwerk linden gkl,,Gkl,,Natural Gas,,Natural Gas,,,,CCGT,,CHP,,PP,,,,Germany,,230.0,,230.0,,,,2013.0,,,,52.372917,,,,9.714194,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD2LIND5G----6,,[BNA0418]
285,,Hkw nord,,Nord,,Coal,,Hard Coal,,,,Steam Turbine,,CHP,,CHP,,Germany,,Germany,,123.0,,61.5,,,,2000.0,,,,51.25292,,,,9.43796,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD2WBNK000318M,,[BNA1075a]
286,,Karolin,,Karolin bl,,Coal,,Hard Coal,,,,,,,,PP,,Poland,,Poland,,112.0,,112.0,,,,,,,,52.43639,,,,16.98836,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,GPI,,19W0000000000741,,[OEU270]
287,,Kraftwerk römerbrücke,,Römerbrücke,,Natural Gas,,Natural Gas,,,,CCGT,,,,CHP,,,,Germany,,123.0,,75.0,,,,2012.0,,,,49.223899,,,,7.014899,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD7UCHT5XROSOK,,[BNA0861a]
288,,Kraftwerk walheim,,Walheim,,Oil,,Oil,,,,OCGT,,,,PP,,Germany,,Germany,,136.0,,136.0,,,,1981.0,,,,49.017472,,,,9.157389,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD4WALK5G----E,,[BNA1004]
289,,Montelimar,,Montelimar,,Hydro,,Hydro,,Run-of-river,,Run-Of-River,,PP,,PP,,France,,France,,295.0,,295.0,,,,1957.0,,,,44.59281,,,,4.72593,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P0323L,,[OEU145]
290,,Montereau,,Montereau,,Oil,,Oil,,,,,,,,PP,,France,,France,,185.0,,370.0,,,,,,,,48.38045,,,,2.85108,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P0271E,,"[OEU98, OEU97]"
291,,Moorburg,,Moorburg,,Coal,,Hard Coal,,,,Steam Turbine,,,,PP,,,,Germany,,1600.0,,1540.0,,,,2015.0,,,,53.486245,,,,9.953149,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD8MOOR1C----G,,"[BNA1673, BNA1558]"
292,,Rheinfelden ch,,Rheinfelden,,Hydro,,Hydro,,Run-of-river,,Run-Of-River,,PP,,PP,,Switzerland,,Switzerland,,100.0,,101.8,,,,2010.0,,,,47.5688531592,,,,7.8129757269,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,BFE,,12W-0000000080-7,,"[OEU524, OEU525]"
293,,Rheinhafen dampfkraftwerk karlsruhe,,Rheinhafen dampfkraftwerk,,Natural Gas,,Natural Gas,,,,CCGT,,,,PP,,Germany,,Germany,,353.0,,353.0,,,,1998.0,,,,49.0125,,,,8.302778,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD4DAXLA-2S--6,,[BNA0514]
294,,Rheinhafen dampfkraftwerk karlsruhe,,Rheinhafen dampfkraftwerk,,Coal,,Hard Coal,,,,Steam Turbine,,,,"CHP, PP",,Germany,,Germany,,1347.0,,1347.0,,,,1985.0,,,,49.0125,,,,8.302778,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,,,11WD4DAXLA-S---T,,"[BNA0518a, BNA0518b]"
295,,Saint pierre,,Saint pierre cognet,,Hydro,,Hydro,,Run-of-river,,Run-Of-River,,PP,,PP,,France,,France,,122.0,,223.0,,,,1983.0,,,,44.87249,,,,5.77319,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P03299,,"[OEU151, OEU150]"
296,,Spem,,Spem,,Natural Gas,,Natural Gas,,,,,,,,PP,,France,,France,,435.0,,480.0,,,,2010.0,,,,47.30265,,,,-2.14028,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P0334G,,"[OEU121, OEU122]"
297,,Vallabregues,,Vallabregues,,Hydro,,Hydro,,Run-of-river,,Run-Of-River,,PP,,PP,,France,,France,,210.0,,210.0,,,,1970.0,,,,43.82415,,,,4.64349,,"https://transparency.entsoe.eu/generation/r2/
                                  installedCapacityPerProductionUnit/show",,RTE,,17W100P100P0327D,,[OEU154]
298,Aarewerk,,,Aarewerk thun,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,6.32,,,9.15,,,,1962.0,46.751176,,,46.7616833027,7.621663,,,7.61685600235,,,,BFE,[60798],,,"[OEU579, OEU580]"
299,Achensee jenbach,,,Jenbach,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Austria,,,Austria,100.08,,,79.0,,,,1926.0,,,,47.393249,,,,11.788647,,,,,[206],,,[BNA0505]
300,Ackersand,,,Ackersand,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,79.1,,,93.6,,,,1959.0,46.2389303965,,,46.2400050685,7.87470817566,,,7.87457592785,,,,BFE,"[218, 217]",,,"[OEU834, OEU835]"
301,Altheim,,,Altheim,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,18.68,,,17.8,,,,1951.0,49.1666667,,,51.536513,7.3166667,,,14.382898,,,,,[1177],,,[BNA1140]
302,Alzwerke,,,Alzwerke,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,40.5,,,45.0,,,,1922.0,,,,48.1769,,,,12.84045,,,,,[1254],,,[BNA0173]
303,Amsteg,,,Amsteg,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,120.0,,,121.73,,,,1998.0,46.771317,,,46.770916111,8.669632,,,8.6712507379,,,,BFE,[54802],,,"[OEU667, OEU668]"
304,Andernach,,,Ihkw andernach,Waste,,,Waste,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,13.65,,,12.5,,,,2009.0,47.9958954102,,,50.43486,7.85222053528,,,7.43211,,,,,[62577],,,[BNA1291]
305,Ardon,,,Ardon,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,48.5,,,52.0,,,,1996.0,46.210635,,,46.2167209401,7.257758,,,7.2565734757,,,,BFE,[1955],,,[OEU874]
306,Arniberg,,,Arniberg,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,13.0,,,13.0,,,,1969.0,46.771317,,,46.7689944794,8.669632,,,8.6659041292,,,,BFE,[2078],,,[OEU669]
307,Audorf,,,Audorf,Oil,,,Oil,,,,Steam Turbine,PP,,,PP,Germany,,,Germany,87.0,,,87.0,,,,1973.0,,,,54.290672,,,,9.722775,,,,,[2514],,,[BNA0766]
308,Aue,,,Aue dotierzentrale,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,3.69,,,5.7,,,,2013.0,,,,47.4694528495,,,,8.30963508245,,,,BFE,[2516],,,"[OEU792, OEU791]"
309,Augst,,,Augst,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,28.0,,,35.0,,,,1994.0,47.5355731373,,,47.5367624123,7.71467685699,,,7.7096884808,,,,BFE,[2531],,,[OEU526]
310,Bachwasser altendorf,,,Buchs altendorf,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,3.7,,,3.56,,,,1987.0,47.1674264069,,,47.1569967916,9.47793960571,,,9.4671007705,,,,BFE,[60978],,,[OEU469]
311,Bad salzungen,,,Bad salzungen,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,10.0,,,9.7,,,,1994.0,50.8166667,,,50.800266,10.2333333,,,10.220563,,,,,[2800],,,[BNA1105]
312,Neu bannwil,,,Bannwil,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,53.76,,,28.5,,,,2000.0,47.234045,,,47.2293726093,7.731013,,,7.7322982717,,,,BFE,"[3209, 30855]",,,[OEU640]
313,Barby,,,Kwk anlage barby,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,16.0,,,18.0,,,,1993.0,52.1666667,,,51.983192,11.6666667,,,11.87656,,,,,[26572],,,[BNA0051]
314,Barenburg,,,Bärenburg,Hydro,,,Hydro,,,,"Reservoir, Run-Of-River",PP,,,PP,Switzerland,,,Switzerland,220.0,,,220.76,,,,1962.0,46.5954478658,,,46.5901915365,9.42909860034,,,9.4214272262,,,,BFE,[3326],,,"[OEU431, OEU432]"
315,Barmen,,,Barmen,Natural Gas,,,Natural Gas,,,,CCGT,PP,,,CHP,Germany,,,Germany,198.5,,,82.0,,,,2005.0,51.2666667,,,51.268889,7.1833333,,,7.200278,,,,,[3355],,,[BNA1082]
316,Bavona,,,Bavona,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,140.0,,,140.0,,,,1966.0,46.411402,,,46.4103537646,8.617377,,,8.5376128454,,,,BFE,[3617],,,[OEU981]
317,Beeskow hufenfeld,,,Beeskow,Wind,,,Bioenergy,,,,Steam Turbine,PP,,,PP,Germany,,,Germany,18.0,,,18.3,,,,2001.0,52.1666667,,,52.18269,14.25,,,14.25841,,,,,[3808],,,[BNA0062]
318,Bertoldsheim,,,Bertoldsheim,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,18.9,,,18.9,,,,1967.0,48.75,,,48.735932,11.0166667,,,11.020923,,,,,[4220],,,[BNA1239]
319,Beznau hydro,,,Beznau,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,21.45,,,25.7,,,,1927.0,47.5709089378,,,47.5539280515,8.25845718384,,,8.23196824115,,,,BFE,[4312],,,"[OEU655, OEU656]"
320,Bhkw obere viehweide,,,Bhkw obere viehweide,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,12.8,,,13.4,,,,2000.0,48.5226589916,,,48.510855,9.05221939087,,,9.071463,,,,,[4429],,,[BNA0957]
321,Biasca,,,Biasca,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,280.0,,,324.0,,,,2007.0,46.3597236955,,,46.3349885216,8.96965026855,,,8.9826495994,,,,BFE,[4485],,,[OEU966]
322,Bigge,,,Bigge,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,15.4,,,15.0,,,,1965.0,51.1264483199,,,51.093173,7.90333271027,,,7.86272,,,,,[4580],,,[BNA1102]
323,Birsfelden,,,Birsfelden,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,100.0,,,100.0,,,,1999.0,,,,47.5598609367,,,,7.6263646056,,,,BFE,[4726],,,[OEU528]
324,Bisisthal,,,Bisisthal,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,15.0,,,15.8,,,,1962.0,,,,46.9466216843,,,,8.8279977461,,,,BFE,[40384],,,[OEU682]
325,Bitsch,,,Bitsch,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,356.0,,,340.0,,,,1980.0,46.35,,,46.3336461722,7.9666667,,,8.0075990397,,,,BFE,[4775],,,[OEU814]
326,Bittenbrunn,,,Bittenbrunn,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,19.8,,,20.2,,,,1969.0,49.3763936436,,,48.734459,11.8052387238,,,11.14382,,,,,[4777],,,[BNA0689]
327,Bitterfeld,,,Bitterfeld,Natural Gas,,,Natural Gas,,,,CCGT,PP,,,IPP,Germany,,,Germany,114.0,,,106.0,,,,2000.0,,,,51.633861,,,,12.299357,,,,,[4778],,,[BNA0105]
328,Bleiloch,,,Bleiloch,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,80.0,,,79.8,,,,1932.0,,,,50.52438482,,,,11.71438694,,,,,[4904],,,"[BNA0883, BNA0882]"
329,Boblingen,,,Restmüllheizkraftwerk böblingen,Waste,,,Waste,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,12.0,,,9.5,,,,1999.0,48.6833333,,,48.68552315,9.0166667,,,9.049525695,,,,,[5018],,,[BNA1110]
330,Bochum,,,Bochum,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,21.0,,,20.7,,,,2004.0,51.4833333,,,51.48333333,7.2166667,,,7.216666667,,,,,[5050],,,[BNA0110]
331,Bocki,,,Bocki,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,7.0,,,8.7,,,,1997.0,46.81885,,,46.8409637891,8.650516,,,8.6321455604,,,,BFE,[61005],,,"[OEU670, OEU671]"
332,Bomlitz probis,,,Bomlitz,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,6.7,,,22.1,,,,1912.0,52.9,,,52.904778,9.65,,,9.658513,,,,,[58260],,,[BNA1524]
333,Bondo,,,Bondo,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,6.7,,,6.9,,,,1962.0,,,,46.3339963909,,,,9.55121329,,,,BFE,[5205],,,[OEU1009]
334,Braunschweig,,,Bhkw braunschweig,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,26.0,,,23.4,,,,2013.0,52.2666667,,,49.047474,10.5333333,,,8.281602,,,,,[5651],,,"[BNA1504, BNA1677]"
335,Braunschweig mitte,,,Mitte,Hard Coal,,,Natural Gas,,,,CCGT,CHP,,,CHP,Germany,,,Germany,94.2,,,94.0,,,,1971.0,52.27795158,,,52.278611,10.51471328,,,10.514722,,,,,[5650],,,"[BNA0135, BNA0136]"
336,Bremen hafen,,,Hafen,Waste,,,Waste,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,33.0,,,33.0,,,,2009.0,53.0751556794,,,53.12482,8.80777359009,,,8.72887,,,,,[5709],,,[BNA0139]
337,Bremgarten zufikon,,,Bremgarten zufikon,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,20.0,,,20.0,,,,1975.0,47.3510939057,,,47.3436544275,8.3421421051,,,8.3456280251,,,,BFE,[5716],,,[OEU721]
338,Brigels tavanasa,,,Brigels tavanasa,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,13.0,,,12.5,,,,1960.0,,,,46.7580621697,,,,9.0717462291,,,,BFE,[5784],,,[OEU409]
339,Broc,,,Broc,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,17.6,,,25.0,,,,1988.0,,,,46.6098576224,,,,7.1093067527,,,,BFE,[5849],,,[OEU597]
340,Brugg bik,,,Brügg,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,3.6,,,5.2,,,,1995.0,47.1324032425,,,47.1191458966,7.24411010742,,,7.2580998136,,,,BFE,[5975],,,[OEU629]
341,Burglen,,,Bürglen unterschächen,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,20.71,,,20.8,,,,1967.0,46.875651,,,46.8765292426,8.665392,,,8.6633716678,,,,BFE,[6292],,,[OEU674]
342,Calbe,,,Acr biokraftwerk calbe invest & co. kg,Bioenergy,,,Bioenergy,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,10.2,,,10.2,,,,1996.0,51.9,,,51.92012,11.7666667,,,11.80181,,,,,[6667],,,[BNA0176]
343,Calcaccia,,,Calcaccia,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,3.6,,,3.6,,,,1988.0,,,,46.5194921171,,,,8.6345754932,,,,BFE,[6668],,,[OEU954]
344,Campocologno,,,Campocologno,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,51.5,,,51.62,,,,1950.0,46.233387,,,46.2314950004,10.142142,,,10.1444383895,,,,BFE,[6859],,,"[OEU1001, OEU1000]"
345,Castasegna,,,Castasegna,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,95.0,,,100.0,,,,1980.0,46.3339211123,,,46.3360981055,9.51785087585,,,9.5154370078,,,,BFE,[7340],,,[OEU1010]
346,Cavaglia,,,Cavaglia,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,7.3,,,8.3,,,,1975.0,,,,46.3680968766,,,,10.0363058541,,,,BFE,[7460],,,[OEU997]
347,Cavergno,,,Cavergno,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,104.0,,,114.0,,,,1955.0,46.345208,,,46.3536410924,8.606196,,,8.5953235335,,,,BFE,[7471],,,[OEU982]
348,Champsec,,,Champsec,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,16.45,,,8.7,,,,1994.0,46.05806,,,46.0571253575,7.242957,,,7.2480638839,,,,BFE,[7867],,,[OEU891]
349,Chanet,,,Usine du chanet,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,4.4,,,4.4,,,,1972.0,,,,46.9592586149,,,,6.8288864529,,,,BFE,[60915],,,[OEU619]
350,Chanrion new,,,Chanrion,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,27.0,,,30.0,,,,1964.0,,,,45.99977203,,,,7.350620833,,,,BFE,[7941],,,[OEU886]
351,Chatelot,,,Le châtelot,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,16.07,,,31.6,,,,1953.0,,,,47.1209584467,,,,6.7739328574,,,,BFE,[24734],,,[OEU947]
352,Chemnitz,,,Chemnitz nord,Hard Coal,,,Lignite,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,192.0,,,147.6,,,,1988.0,50.85661589,,,50.856981,12.92307306,,,12.923096,,,,,[8136],,,"[BNA0177, BNA0179]"
353,Rhone chippis,,,Chippis rhône,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,88.0,,,47.84,,,,1998.0,,,,46.2819458712,,,,7.5474999663,,,,BFE,"[8428, 37204]",,,[OEU855]
354,Clees,,,Les clées,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,30.0,,,30.0,,,,1955.0,,,,46.7311268769,,,,6.4449925209,,,,BFE,[25003],,,[OEU610]
355,Combe garot,,,Combe garot,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,4.86,,,4.86,,,,1961.0,,,,46.9623191064,,,,6.7963975875,,,,BFE,[60916],,,[OEU618]
356,Cottbus,,,Cottbus,Hard Coal,,,Lignite,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,66.478,,,74.0,,,,1999.0,51.75974598,,,51.76017,14.3696347,,,14.37004,,,,,[9525],,,[BNA0183]
357,Cuijk biomass,,,Cuijk,Waste,,,Hard Coal,,,,Steam Turbine,PP,,,PP,Netherlands,,,Netherlands,24.6,,,25.0,,,,,51.75,,,51.75381,5.870833,,,5.8528,,,,Tennet_Q12015,[9816],,,[OEU7]
358,Dallenwil,,,Dallenwil,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,17.75,,,18.24,,,,1987.0,46.924197,,,46.9116636808,8.387852,,,8.3936088748,,,,BFE,[10102],,,[OEU693]
359,Datteln,,,Datteln,Hard Coal,,,Hard Coal,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,313.0,,,303.0,,,,1964.0,51.62928121,,,51.62952,7.33067972,,,7.331174,,,,,[10290],,,"[BNA0187, BNA0188, BNA0189]"
360,Dernier,,,Dernier,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,28.0,,,28.0,,,,1988.0,46.7125608452,,,46.7020995589,6.37893676758,,,6.3499375448,,,,BFE,[23685],,,[OEU608]
361,Dettingen canal,,,Dettingen,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,10.65,,,11.0,,,,1927.0,,,,48.527536,,,,9.3488325,,,,,[10646],,,[BNA1126]
362,Detzem,,,Detzem,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,24.0,,,24.0,,,,1962.0,49.8166667,,,49.810941,6.85,,,6.843882,,,,,[10649],,,[BNA0880]
363,Diablerets,,,Diablerets,Hydro,,,Hydro,,,,Reservoir,PP,,,PP,Switzerland,,,Switzerland,3.39,,,5.4,,,,1957.0,,,,46.3530641075,,,,7.1546504486,,,,BFE,[60796],,,[OEU928]
364,Dingolfing,,,Dingolfing,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,17.76,,,15.0,,,,1957.0,48.6333333,,,48.63404,12.5,,,12.48369,,,,,[10861],,,[BNA1129]
365,Dornau,,,Dornau,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,17.5,,,16.6,,,,1960.0,49.8958333,,,47.8001993,9.1883333,,,10.9026434,,,,,[11170],,,[BNA1251]
366,Dortmund gasruss,,,Dortmund,Natural Gas,,,Natural Gas,,,,Steam Turbine,CHP,,,PP,Germany,,,Germany,26.575,,,26.0,,,,2004.0,51.5166667,,,51.51973,7.45,,,7.47697,,,,,[10467],,,[BNA0202]
367,Dukovany,,,Dukovany,Nuclear,,,Nuclear,,,,Steam Turbine,PP,,,PP,Czech Republic,,,Czech Republic,1910.4,,,2010.0,,,,,49.085,,,49.08495,16.1488888889,,,16.15006,,,,CEPS,[11427],,,"[OEU360, OEU361, OEU362, OEU359]"
368,Eitting,,,Eitting,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,40.0,,,26.0,,,,1925.0,,,,48.3585905,,,,11.8821921,,,,,[11965],,,[BNA1134]
369,Elberfeld,,,Elberfeld,Hard Coal,,,Hard Coal,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,142.0,,,85.0,,,,1989.0,51.24813251,,,51.24835,7.120161529,,,7.11874,,,,,[12224],,,[BNA1084]
370,Ellgau,,,Ellgau,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,10.0,,,9.7,,,,1952.0,48.6,,,48.596746,10.8666667,,,10.8789,,,,,[12307],,,[BNA1136]
371,Eltmann,,,Eltmann,Natural Gas,,,Natural Gas,,,,Steam Turbine,PP,,,CHP,Germany,,,Germany,53.8,,,57.0,,,,2008.0,49.9666667,,,49.984,10.6666667,,,10.65137,,,,,[12362],,,[BNA0243]
372,Emden,,,Emden,Natural Gas,,,Natural Gas,,,,Steam Turbine,PP,,,PP,Germany,,,Germany,500.0,,,430.0,,,,1973.0,53.3666667,,,53.34217,7.2166667,,,7.20624,,,,,[12389],,,"[BNA0245a, BNA0245b]"
373,Engeweiher,,,Engeweiher,Hydro,,,Hydro,,,,Pumped Storage,PP,,,PP,Switzerland,,,Switzerland,5.3,,,5.0,,,,1993.0,,,,47.6934840779,,,,8.6304355531,,,,BFE,[12482],,,[OEU479]
374,Enkirch,,,Enkirch,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,17.28,,,18.4,,,,1966.0,49.9833333,,,49.97667,7.1166667,,,7.127777,,,,,[12501],,,[BNA1137]
375,Erfurt ost,,,Erfurt ost,Natural Gas,,,Natural Gas,,,,CCGT,PP,,,CHP,Germany,,,Germany,86.0,,,109.1,,,,2000.0,51.01722702,,,50.989612,11.04015152,,,11.027635,,,,,[12609],,,"[BNA0256b, BNA0256a]"
376,Erika,,,Erica,Natural Gas,,,Natural Gas,,,,,PP,,,PP,Netherlands,,,Netherlands,66.2,,,63.0,,,,,52.714167,,,52.69632,6.926389,,,6.91411,,,,Tennet_Q42015,[12626],,,[OEU40]
377,Ering frauenstein,,,Ering,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,73.33,,,36.5,,,,1942.0,48.2992114141,,,48.2935129,13.1502914429,,,13.1585196,,,,,[12629],,,[BNA0259]
378,Erlangen,,,Erlangen,Hard Coal,,,Hard Coal,,,,Steam Turbine,CHP,,,CHP,Germany,,,Germany,48.6,,,17.4,,,,1980.0,49.5897222,,,49.59283,11.0038889,,,11.00148,,,,,[12638],,,[BNA0261b]
379,Erlenbach bkw,,,Erlenbach,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,18.0,,,18.0,,,,2005.0,,,,46.6568821564,,,,7.5481189122,,,,BFE,[12643],,,[OEU577]
380,Ernen binn,,,Ernen,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Switzerland,,,Switzerland,34.0,,,33.0,,,,1954.0,,,,46.3911687446,,,,8.1301504096,,,,BFE,[12657],,,[OEU808]
381,Ettling,,,Ettling,Hydro,,,Hydro,,,,Run-Of-River,PP,,,PP,Germany,,,Germany,13.5,,,12.6,,,,1988.0,48.8166667,,,48.6960722,11.6666667,,,12.7977619,,,,,[12857],,,[BNA1274]
382,Etzelwerk altendorf,,,Etzelwerk,Hydro,,,Hydro,,,,Pumped Storage,PP,,,PP,Switzerland,,,Switzerland,142.44,,,135.0,,,,1992.0,47.1630944254,,,47.1941128968,8.78477145916,,,8.8129151707,,,,BFE,[1159],,,[OEU780]
